Time,BUS10Va,BUS10Vb,BUS10Vc,L4Ia_FLT,L4Ib_FLT,L4Ic_FLT
0.003139545,7813.008789,-19530.23242,1179.682739,0.008843129,-0.019554516,0.001137395
0.003189545,8006.01709,-19408.4043,883.6987305,0.009038095,-0.019431952,0.000835117
0.003239545,8197.697266,-19281.66797,586.3914795,0.009232328,-0.01930468,0.00053299
0.003289545,8387.998047,-19150.28516,287.897522,0.009425445,-0.01917305,0.000230929
0.003339545,8576.835938,-19014.53125,-11.60431576,0.009616985,-0.019037426,-7.12e-05
0.003389545,8764.091797,-18874.68555,-311.9016113,0.009806448,-0.018898156,-0.00037352
0.003439545,8949.620117,-18731.02539,-612.7598267,0.009993315,-0.018755555,-0.000676224
0.003489545,9133.24707,-18583.81445,-913.9351196,0.010177093,-0.018609872,-0.000979454
0.003539545,9314.78125,-18433.29492,-1215.187012,0.010357342,-0.018461278,-0.001283329
0.003589545,9494.020508,-18279.67773,-1516.289307,0.010533708,-0.018309848,-0.001587921
0.003639545,9670.756836,-18123.12695,-1817.03833,0.010705951,-0.018155551,-0.001893232
0.003689545,9844.791016,-17963.75977,-2117.258545,0.010873951,-0.017998248,-0.002199185
0.003739545,10015.94238,-17801.625,-2416.803955,0.011037727,-0.017837692,-0.002505618
0.003789545,10184.05859,-17636.70313,-2715.556397,0.011197423,-0.017673546,-0.002812284
0.003839545,10349.02441,-17468.89258,-3013.424072,0.011353299,-0.017505396,-0.003118858
0.003889545,10510.76563,-17298.02148,-3310.334961,0.011505708,-0.017332776,-0.003424956
0.003939545,10669.25781,-17123.83789,-3606.233643,0.011655059,-0.017155198,-0.003730153
0.003989545,10824.51563,-16946.03516,-3901.076904,0.011801784,-0.016972192,-0.004034011
0.004039545,10976.59375,-16764.25586,-4194.82959,0.0119463,-0.016783334,-0.004336109
0.004089545,11125.57617,-16578.12109,-4487.463867,0.012088963,-0.016588284,-0.004636072
0.004139545,11271.56055,-16387.24609,-4778.958008,0.012230039,-0.016386814,-0.004933596
